articulo_id;nombre;sku;categoria;coleccion;descripcion;notas_olfativas;perfil_olfativo;genero;edicion_limitada;presentacion;precio_usd;stock;imagen_url
6;Tom Ford Oud Wood;TF-OW-001;Amaderado;Niche & Artesanal;Madera de oud de primera calidad envuelta en especias exóticas y una base aterciopelada.;Oud, Madera de rosa, Cardamomo, Sándalo, Vainilla;amaderado_oriental;unisex;FALSO;EDP 50ml;144.0;5;https://sdcdn.io/tf/tf_sku_TAJK01_2000x2000_1.png?height=700px&width=700px
6;Tom Ford Oud Wood;TF-OW-001;Amaderado;Niche & Artesanal;Madera de oud de primera calidad envuelta en especias exóticas y una base aterciopelada.;Oud, Madera de rosa, Cardamomo, Sándalo, Vainilla;amaderado_oriental;unisex;FALSO;EDP 100ml;224.0;5;https://sdcdn.io/tf/tf_sku_TAJK01_2000x2000_1.png?height=700px&width=700px
7;Flowerbomb;VR-FLB-001;Floral;Everyday Luxe;Una explosión floral adictiva. Millones de flores comprimidas en un frasco con forma de granada.;Jazmín, Rosa, Orquídea, Freesia, Patchouli, Musco;floral_oriental;femenino;FALSO;EDP 50ml;90.0;5;https://static.wixstatic.com/media/1e8938_8e23d945f81747f49dbc34532556161d~mv2.png/v1/fill/w_480,h_480,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/1e8938_8e23d945f81747f49dbc34532556161d~mv2.png
7;Flowerbomb;VR-FLB-001;Floral;Everyday Luxe;Una explosión floral adictiva. Millones de flores comprimidas en un frasco con forma de granada.;Jazmín, Rosa, Orquídea, Freesia, Patchouli, Musco;floral_oriental;femenino;FALSO;EDP 100ml;140.0;5;https://static.wixstatic.com/media/1e8938_8e23d945f81747f49dbc34532556161d~mv2.png/v1/fill/w_480,h_480,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/1e8938_8e23d945f81747f49dbc34532556161d~mv2.png
8;Bleu de Chanel;CHN-BDC-001;Fresco;Everyday Luxe;Elegancia moderna y masculina. Un fougère aromático que transita entre frescura y profundidad.;Limón, Menta, Incienso, Jazmín, Sándalo, Patchouli;fougere_aromatico;masculino;FALSO;EDP 50ml;90.0;5;https://attoperfumes.com.co/cdn/shop/files/bleu-chanel-edp-100-ml_grande.png?v=1696695579
8;Bleu de Chanel;CHN-BDC-001;Fresco;Everyday Luxe;Elegancia moderna y masculina. Un fougère aromático que transita entre frescura y profundidad.;Limón, Menta, Incienso, Jazmín, Sándalo, Patchouli;fougere_aromatico;masculino;FALSO;EDP 100ml;140.0;5;https://attoperfumes.com.co/cdn/shop/files/bleu-chanel-edp-100-ml_grande.png?v=1696695579
9;Libre;YSL-LIB-001;Fougère;Everyday Luxe;La libertad hecha fragancia. Lavanda francesa y flor de naranjo en perfecta tensión.;Lavanda, Flor de naranjo, Musgo de roble, Vainilla;fougere_floral;femenino;FALSO;EDP 50ml;90.0;5;https://fragrancelord.com/cdn/shop/files/2_1b9569ac-2fd9-4257-a862-2de06b10d9f9.png?v=1772725123
9;Libre;YSL-LIB-001;Fougère;Everyday Luxe;La libertad hecha fragancia. Lavanda francesa y flor de naranjo en perfecta tensión.;Lavanda, Flor de naranjo, Musgo de roble, Vainilla;fougere_floral;femenino;FALSO;EDP 100ml;140.0;5;https://fragrancelord.com/cdn/shop/files/2_1b9569ac-2fd9-4257-a862-2de06b10d9f9.png?v=1772725123
10;Creed Aventus;CRD-AVT-001;Chypre;Niche & Artesanal;La fragancia del éxito. Piña, abedul y musgo crean un chypre frutal de leyenda.;Piña, Manzana, Abedul, Musgo de roble, Ambar;chypre_frutal;masculino;FALSO;EDP 50ml;144.0;5;https://noseparis.com/media/catalog/product/cache/347e24147afc53942168a65937a6a684/a/v/aventus-.png
10;Creed Aventus;CRD-AVT-001;Chypre;Niche & Artesanal;La fragancia del éxito. Piña, abedul y musgo crean un chypre frutal de leyenda.;Piña, Manzana, Abedul, Musgo de roble, Ambar;chypre_frutal;masculino;FALSO;EDP 100ml;224.0;5;https://noseparis.com/media/catalog/product/cache/347e24147afc53942168a65937a6a684/a/v/aventus-.png
11;Good Girl;CK-GGR-001;Gourmand;Everyday Luxe;Dualidad femenina entre el jazmín y el tonka. Frasco con tacón icónico azul cobalto.;Jazmín, Cacao, Almendra de tonka, Café, Vetiver;gourmand_floral;femenino;FALSO;EDP 50ml;90.0;5;https://holacompras.com/wp-content/uploads/2025/12/PERF-CHER_BLUSH-W.png
11;Good Girl;CK-GGR-001;Gourmand;Everyday Luxe;Dualidad femenina entre el jazmín y el tonka. Frasco con tacón icónico azul cobalto.;Jazmín, Cacao, Almendra de tonka, Café, Vetiver;gourmand_floral;femenino;FALSO;EDP 100ml;140.0;5;https://holacompras.com/wp-content/uploads/2025/12/PERF-CHER_BLUSH-W.png
12;Terre d'Hermès;HRM-TDH-001;Amaderado;Clásicos Eternos;La tierra como territorio interior. Naranja, sílex y madera vetiver en armonía mineral.;Pomelo, Naranja, Sílex mineral, Madera de cedro, Vetiver;amaderado_mineral;masculino;FALSO;EDP 50ml;99.0;5;https://flert.com.sv/public/vendor/img/products/large/HPHP019C.png?v=83
12;Terre d'Hermès;HRM-TDH-001;Amaderado;Clásicos Eternos;La tierra como territorio interior. Naranja, sílex y madera vetiver en armonía mineral.;Pomelo, Naranja, Sílex mineral, Madera de cedro, Vetiver;amaderado_mineral;masculino;FALSO;EDP 100ml;154.0;5;https://flert.com.sv/public/vendor/img/products/large/HPHP019C.png?v=83
13;La Vie Est Belle;LNC-LVB-001;Gourmand;Everyday Luxe;La celebración de la felicidad. Iris, patchouli y pralinado en una oda a la alegría.;Grosella negra, Pera, Iris, Pralinado, Patchouli, Vainilla;gourmand_floral;femenino;FALSO;EDP 50ml;90.0;5;https://perfumeriaonlinex.com/wp-content/uploads/2024/07/LANCOME-LA-VIE-EST-BELLE-EN-ROSE-EDT-100ML.png
13;La Vie Est Belle;LNC-LVB-001;Gourmand;Everyday Luxe;La celebración de la felicidad. Iris, patchouli y pralinado en una oda a la alegría.;Grosella negra, Pera, Iris, Pralinado, Patchouli, Vainilla;gourmand_floral;femenino;FALSO;EDP 100ml;140.0;5;https://perfumeriaonlinex.com/wp-content/uploads/2024/07/LANCOME-LA-VIE-EST-BELLE-EN-ROSE-EDT-100ML.png
14;Oud Ispahan;DIO-OUD-001;Oriental;Niche & Artesanal;Un viaje a Oriente. Rosa de Damasco y oud en una sinfonía oriental de insólita profundidad.;Rosa de Damasco, Oud, Patchouli, Sándalo;oriental_floral;unisex;FALSO;EDP 50ml;144.0;5;https://narcisolopez.com/cdn/shop/products/download-2022-06-23T180454.888.png?v=1656000925
14;Oud Ispahan;DIO-OUD-001;Oriental;Niche & Artesanal;Un viaje a Oriente. Rosa de Damasco y oud en una sinfonía oriental de insólita profundidad.;Rosa de Damasco, Oud, Patchouli, Sándalo;oriental_floral;unisex;FALSO;EDP 100ml;224.0;5;https://narcisolopez.com/cdn/shop/products/download-2022-06-23T180454.888.png?v=1656000925
15;Chance Eau Tendre;CHN-CET-001;Floral;Everyday Luxe;Ligereza y frescura floral. Pomelo y jacinto bailan sobre una nube de musco blanco.;Pomelo, Jacinto, Iris, Jazmín, Musco blanco;floral_fresco;femenino;FALSO;EDP 50ml;90.0;5;https://www.perfumenz.co.nz/cdn/shop/products/chanel-chance-tendre-100ml-edp_512x512.png?v=1554688018
15;Chance Eau Tendre;CHN-CET-001;Floral;Everyday Luxe;Ligereza y frescura floral. Pomelo y jacinto bailan sobre una nube de musco blanco.;Pomelo, Jacinto, Iris, Jazmín, Musco blanco;floral_fresco;femenino;FALSO;EDP 100ml;140.0;5;https://www.perfumenz.co.nz/cdn/shop/products/chanel-chance-tendre-100ml-edp_512x512.png?v=1554688018
16;Eros;VR-ERS-001;Fresco;Everyday Luxe;Pasión masculina desbordante. Menta, vainilla y madera verde en una oda griega al deseo.;Menta, Manzana verde, Vainilla, Cedro, Musco;fresco_oriental;masculino;FALSO;EDP 50ml;90.0;5;https://aromatica.cr/cdn/shop/files/Decant-Eros-Parfum-para-hombre-Arom_tica-CR-367305817.png?v=1742844386&width=416
16;Eros;VR-ERS-001;Fresco;Everyday Luxe;Pasión masculina desbordante. Menta, vainilla y madera verde en una oda griega al deseo.;Menta, Manzana verde, Vainilla, Cedro, Musco;fresco_oriental;masculino;FALSO;EDP 100ml;140.0;5;https://aromatica.cr/cdn/shop/files/Decant-Eros-Parfum-para-hombre-Arom_tica-CR-367305817.png?v=1742844386&width=416
17;Sì;ARN-SI-001;Gourmand;Everyday Luxe;La fragancia del poder femenino. Grosella negra, rosas y notas de vainilla en equilibrio perfecto.;Grosella negra, Rosa, Miel de néctar, Patchouli, Vainilla;gourmand_floral;femenino;FALSO;EDP 50ml;90.0;5;https://www.perfumenz.co.nz/cdn/shop/files/armani-si-50ml-edp---2_1080x1080.png?v=1764722914
17;Sì;ARN-SI-001;Gourmand;Everyday Luxe;La fragancia del poder femenino. Grosella negra, rosas y notas de vainilla en equilibrio perfecto.;Grosella negra, Rosa, Miel de néctar, Patchouli, Vainilla;gourmand_floral;femenino;FALSO;EDP 100ml;140.0;5;https://www.perfumenz.co.nz/cdn/shop/files/armani-si-50ml-edp---2_1080x1080.png?v=1764722914
18;Portrait of a Lady;FM-POL-001;Floral;Niche & Artesanal;Niche poético de Frédéric Malle. Rosa turca, patchouli e incienso en un retrato atemporal.;Rosa turca, Canela, Patchouli, Incienso, Sándalo;floral_oriental;femenino;FALSO;EDP 50ml;144.0;5;https://noseparis.com/media/opti_image/webp/catalog/product/cache/347e24147afc53942168a65937a6a684/p/o/portrait-of-a-lady-100ml_1.webp
18;Portrait of a Lady;FM-POL-001;Floral;Niche & Artesanal;Niche poético de Frédéric Malle. Rosa turca, patchouli e incienso en un retrato atemporal.;Rosa turca, Canela, Patchouli, Incienso, Sándalo;floral_oriental;femenino;FALSO;EDP 100ml;224.0;5;https://noseparis.com/media/opti_image/webp/catalog/product/cache/347e24147afc53942168a65937a6a684/p/o/portrait-of-a-lady-100ml_1.webp
19;Baccarat Rouge 540;FM-BR5-001;Oriental;Niche & Artesanal;El fenómeno olfativo del siglo XXI. Jazmín, azafrán y madera de cedro translúcida.;Jazmín, Azafrán, Amberwood, Cedro de cedro;oriental_floral;unisex;FALSO;EDP 50ml;144.0;5;https://www.franciskurkdjian.com/dw/image/v2/BJSB_PRD/on/demandware.static/-/Sites-mfk-master-catalog/default/dwa46019b3/BACCARAT_ROUGE_540/FRAGRANCE/3700559603116_BR540_EDP_70ML_1.png?sw=1700&sh=1700&sfrm=png&q=85&strip=true
19;Baccarat Rouge 540;FM-BR5-001;Oriental;Niche & Artesanal;El fenómeno olfativo del siglo XXI. Jazmín, azafrán y madera de cedro translúcida.;Jazmín, Azafrán, Amberwood, Cedro de cedro;oriental_floral;unisex;FALSO;EDP 100ml;224.0;5;https://www.franciskurkdjian.com/dw/image/v2/BJSB_PRD/on/demandware.static/-/Sites-mfk-master-catalog/default/dwa46019b3/BACCARAT_ROUGE_540/FRAGRANCE/3700559603116_BR540_EDP_70ML_1.png?sw=1700&sh=1700&sfrm=png&q=85&strip=true
20;Fahrenheit;DIO-FAH-001;Amaderado;Clásicos Eternos;Petróleo, violeta y cuero. Una provocación masculina que marcó los años 90 para siempre.;Violeta, Cedro, Cuero, Vainilla, Sándalo;amaderado_floral;masculino;FALSO;EDP 50ml;99.0;5;https://decants.cr/cdn/shop/files/dior-dior-fahrenheit-parfum-184488.png?v=1762524291&width=1346
20;Fahrenheit;DIO-FAH-001;Amaderado;Clásicos Eternos;Petróleo, violeta y cuero. Una provocación masculina que marcó los años 90 para siempre.;Violeta, Cedro, Cuero, Vainilla, Sándalo;amaderado_floral;masculino;FALSO;EDP 100ml;154.0;5;https://decants.cr/cdn/shop/files/dior-dior-fahrenheit-parfum-184488.png?v=1762524291&width=1346
21;Mon Paris;YSL-MOP-001;Floral;Everyday Luxe;Una historia de amor parisina. Fresa, peonía y musco blanco en una fragancia romántica.;Fresa, Frambuesa, Peonía, Rosa, Musco blanco;floral_frutal;femenino;FALSO;EDP 50ml;90.0;5;https://innovacellcr.com/cdn/shop/files/perfume-mujer-yves-saint-laurent-mon-paris-90ml-innovacell-30759.png?v=1741364203&width=720
21;Mon Paris;YSL-MOP-001;Floral;Everyday Luxe;Una historia de amor parisina. Fresa, peonía y musco blanco en una fragancia romántica.;Fresa, Frambuesa, Peonía, Rosa, Musco blanco;floral_frutal;femenino;FALSO;EDP 100ml;140.0;5;https://innovacellcr.com/cdn/shop/files/perfume-mujer-yves-saint-laurent-mon-paris-90ml-innovacell-30759.png?v=1741364203&width=720
22;Kouros;YSL-KOU-001;Fougère;Clásicos Eternos;Fougère clásico de los 80. Lavanda, madera de cedro y civeta en un icono masculino atrevido.;Lavanda, Bergamota, Madera de cedro, Musgo, Civeta;fougere_clasico;masculino;FALSO;EDP 50ml;99.0;5;https://www.perfumenz.co.nz/cdn/shop/products/kouros-100ml_1080x1080.png?v=1555207264
22;Kouros;YSL-KOU-001;Fougère;Clásicos Eternos;Fougère clásico de los 80. Lavanda, madera de cedro y civeta en un icono masculino atrevido.;Lavanda, Bergamota, Madera de cedro, Musgo, Civeta;fougere_clasico;masculino;FALSO;EDP 100ml;154.0;5;https://www.perfumenz.co.nz/cdn/shop/products/kouros-100ml_1080x1080.png?v=1555207264
23;Mugler Angel;MUG-ANG-001;Gourmand;Clásicos Eternos;El primer gourmand de la historia. Pralinado, patchouli y chocolate que cambiaron la perfumería.;Melón, Bergamota, Miel, Pralinado, Patchouli, Vainilla;gourmand_oriental;femenino;FALSO;EDP 50ml;99.0;5;https://myoras.com/cdn/shop/files/ThierryMugler-AngelEauDeParfum100ml.png?v=1702979739&width=600
23;Mugler Angel;MUG-ANG-001;Gourmand;Clásicos Eternos;El primer gourmand de la historia. Pralinado, patchouli y chocolate que cambiaron la perfumería.;Melón, Bergamota, Miel, Pralinado, Patchouli, Vainilla;gourmand_oriental;femenino;FALSO;EDP 100ml;154.0;5;https://myoras.com/cdn/shop/files/ThierryMugler-AngelEauDeParfum100ml.png?v=1702979739&width=600
24;L'Heure Bleue;GRL-LHB-001;Floral;Clásicos Eternos;Romanticismo en estado puro. Iris, rosa y heliotropo en una elegía a la hora crepuscular.;Bergamota, Anis, Iris, Heliotropo, Rosa, Vainilla;floral_clasico;femenino;FALSO;EDP 50ml;99.0;5;https://www.guerlain.com/dw/image/v2/BDCZ_PRD/on/demandware.static/-/Sites-GSA_master_catalog/default/dw4248c0f1/01-ProductsViewer/P025108/P025108_E01_hi-res.jpg?sw=700&sh=700&sfrm=png
24;L'Heure Bleue;GRL-LHB-001;Floral;Clásicos Eternos;Romanticismo en estado puro. Iris, rosa y heliotropo en una elegía a la hora crepuscular.;Bergamota, Anis, Iris, Heliotropo, Rosa, Vainilla;floral_clasico;femenino;FALSO;EDP 100ml;154.0;5;https://www.guerlain.com/dw/image/v2/BDCZ_PRD/on/demandware.static/-/Sites-GSA_master_catalog/default/dw4248c0f1/01-ProductsViewer/P025108/P025108_E01_hi-res.jpg?sw=700&sh=700&sfrm=png
25;Tobacco Vanille;TF-TV-001;Oriental;Niche & Artesanal;Lujo oscuro y seductor. Tabaco, vainilla y especias en un oriental que hipnotiza.;Hoja de tabaco, Vainilla, Especias, Frutos secos;oriental_especiado;unisex;FALSO;EDP 50ml;144.0;5;https://sdcdn.io/tf/tf_sku_T01K01_2000x2000_0.png?height=700px&width=700px
25;Tobacco Vanille;TF-TV-001;Oriental;Niche & Artesanal;Lujo oscuro y seductor. Tabaco, vainilla y especias en un oriental que hipnotiza.;Hoja de tabaco, Vainilla, Especias, Frutos secos;oriental_especiado;unisex;FALSO;EDP 100ml;224.0;5;https://sdcdn.io/tf/tf_sku_T01K01_2000x2000_0.png?height=700px&width=700px
26;Vetiver;GRL-VET-001;Amaderado;Clásicos Eternos;La quintaesencia del vetiver. Terroso, ahumado y profundo. Un clásico masculino de Guerlain.;Vetiver, Limón, Tabaco, Madera de cedro, Sándalo;amaderado_terroso;masculino;FALSO;EDP 50ml;99.0;5;https://www.creedperfume.com.au/cdn/shop/files/originalvetiver100new_1400x.png?v=1740972028
26;Vetiver;GRL-VET-001;Amaderado;Clásicos Eternos;La quintaesencia del vetiver. Terroso, ahumado y profundo. Un clásico masculino de Guerlain.;Vetiver, Limón, Tabaco, Madera de cedro, Sándalo;amaderado_terroso;masculino;FALSO;EDP 100ml;154.0;5;https://www.creedperfume.com.au/cdn/shop/files/originalvetiver100new_1400x.png?v=1740972028
27;Rose Prick;TF-RP-001;Floral;Niche & Artesanal;Rosa sin filtros. Espinas incluidas. Tom Ford deconstruye la reina de las flores.;Rosa turca, Rosa búlgara, Clavo, Cardamomo, Oud;floral_especiado;unisex;VERDADERO;EDP 50ml;144.0;5;https://sdcdn.io/tf/tf_sku_T9A501_2000x2000_1.png?height=1400px&width=1400px
27;Rose Prick;TF-RP-001;Floral;Niche & Artesanal;Rosa sin filtros. Espinas incluidas. Tom Ford deconstruye la reina de las flores.;Rosa turca, Rosa búlgara, Clavo, Cardamomo, Oud;floral_especiado;unisex;VERDADERO;EDP 100ml;224.0;5;https://sdcdn.io/tf/tf_sku_T9A501_2000x2000_1.png?height=1400px&width=1400px
28;Nuit de Feu;ERL-NDF-001;Oriental;Edición Limitada 2024;Edición limitada de Etat Libre d'Orange. Incienso, oud y resinas ardientes para noches únicas.;Incienso, Oud, Resina de benjuí, Cistus, Ámbar;oriental_resinoso;unisex;VERDADERO;EDP 50ml;117.0;5;https://scentira.in/cdn/shop/files/LV_NUIT_DE_FEU_1_6c6f3bd5-d67e-4817-b73b-9bdbc16ac459.png?v=1756889549&width=5000
28;Nuit de Feu;ERL-NDF-001;Oriental;Edición Limitada 2024;Edición limitada de Etat Libre d'Orange. Incienso, oud y resinas ardientes para noches únicas.;Incienso, Oud, Resina de benjuí, Cistus, Ámbar;oriental_resinoso;unisex;VERDADERO;EDP 100ml;182.0;5;https://scentira.in/cdn/shop/files/LV_NUIT_DE_FEU_1_6c6f3bd5-d67e-4817-b73b-9bdbc16ac459.png?v=1756889549&width=5000
29;Mélodie en Sous-sol;MP-MES-001;Acuático;Edición Limitada 2024;Acuático de alta perfumería. Algas marinas, helecho y sal para los amantes del océano.;Algas marinas, Agua de mar, Helecho, Musgo, Cedro;acuatico_fresco;unisex;VERDADERO;EDP 50ml;117.0;5;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.49852.2x.avif
29;Mélodie en Sous-sol;MP-MES-001;Acuático;Edición Limitada 2024;Acuático de alta perfumería. Algas marinas, helecho y sal para los amantes del océano.;Algas marinas, Agua de mar, Helecho, Musgo, Cedro;acuatico_fresco;unisex;VERDADERO;EDP 100ml;182.0;5;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.49852.2x.avif
30;Encens & Bukhoor;SE-EBK-001;Oriental;Niche & Artesanal;Incienso sagrado y resinas del Golfo. Para quienes buscan espiritualidad en la fragancia.;Incienso, Bukhoor, Oud, Rosa, Ámbar, Sándalo;oriental_resinoso;unisex;FALSO;EDP 50ml;144.0;5;https://www.nilabeautys.com/cdn/shop/files/bakhoor-adent-encens-oriental-elegant-50g-623151.png?v=1745628736&width=800
30;Encens & Bukhoor;SE-EBK-001;Oriental;Niche & Artesanal;Incienso sagrado y resinas del Golfo. Para quienes buscan espiritualidad en la fragancia.;Incienso, Bukhoor, Oud, Rosa, Ámbar, Sándalo;oriental_resinoso;unisex;FALSO;EDP 100ml;224.0;5;https://www.nilabeautys.com/cdn/shop/files/bakhoor-adent-encens-oriental-elegant-50g-623151.png?v=1745628736&width=800
31;Iris Prima;AM-IRP-001;Floral;Niche & Artesanal;Iris en toda su gloria polvorosa y suave. Annick Goutal celebra la elegancia parisina.;Iris, Violeta, Ylang-ylang, Musco blanco;floral_polvoroso;femenino;FALSO;EDP 50ml;144.0;5;https://static.wixstatic.com/media/e2f25d_8f84dd110e5c4ed9bfd2969addf90ef0~mv2.png/v1/fill/w_798,h_798,al_c,q_90,usm_0.66_1.00_0.01,enc_avif,quality_auto/e2f25d_8f84dd110e5c4ed9bfd2969addf90ef0~mv2.png
31;Iris Prima;AM-IRP-001;Floral;Niche & Artesanal;Iris en toda su gloria polvorosa y suave. Annick Goutal celebra la elegancia parisina.;Iris, Violeta, Ylang-ylang, Musco blanco;floral_polvoroso;femenino;FALSO;EDP 100ml;224.0;5;https://static.wixstatic.com/media/e2f25d_8f84dd110e5c4ed9bfd2969addf90ef0~mv2.png/v1/fill/w_798,h_798,al_c,q_90,usm_0.66_1.00_0.01,enc_avif,quality_auto/e2f25d_8f84dd110e5c4ed9bfd2969addf90ef0~mv2.png
32;Himalaya;CRD-HIM-001;Acuático;Niche & Artesanal;Frescura alpina de Creed. Bergamota, madera de cachemira y musco para el hombre de aventura.;Bergamota, Limón, Madera de cachemira, Musco de ambrette;acuatico_amaderado;masculino;FALSO;EDP 50ml;144.0;5;https://noseparis.com/media/opti_image/webp/catalog/product/cache/347e24147afc53942168a65937a6a684/h/i/himalaya-100-pack_1.webp
32;Himalaya;CRD-HIM-001;Acuático;Niche & Artesanal;Frescura alpina de Creed. Bergamota, madera de cachemira y musco para el hombre de aventura.;Bergamota, Limón, Madera de cachemira, Musco de ambrette;acuatico_amaderado;masculino;FALSO;EDP 100ml;224.0;5;https://noseparis.com/media/opti_image/webp/catalog/product/cache/347e24147afc53942168a65937a6a684/h/i/himalaya-100-pack_1.webp
